Step,Time,Norm_diffusion,Norm_projection,dt,CFL
62,0.39375,24.8815,0.00112447,0.00625,0.0810588
63,0.4,24.8194,0.00111886,0.00625,0.0812617
64,0.40625,24.7574,0.00111328,0.00625,0.0814651
65,0.4125,24.6956,0.00110773,0.00625,0.081669
66,0.41875,24.634,0.00110221,0.00625,0.0818735
67,0.425,24.5725,0.00109671,0.00625,0.0820784
68,0.43125,24.5111,0.00109124,0.00625,0.0822839
69,0.4375,24.4499,0.0010858,0.00625,0.0824898
70,0.44375,24.3889,0.00108038,0.00625,0.0826963
71,0.45,24.328,0.00107499,0.00625,0.0829033
72,0.45625,24.2672,0.00106963,0.00625,0.0831108
73,0.4625,24.2066,0.0010643,0.00625,0.0833189
74,0.46875,24.1462,0.00105899,0.00625,0.0835274
75,0.475,24.0859,0.00105371,0.00625,0.0837365
76,0.48125,24.0258,0.00104845,0.00625,0.0839461
77,0.4875,23.9658,0.00104323,0.00625,0.0841562
78,0.49375,23.9059,0.00103802,0.00625,0.0843669
79,0.5,23.8462,0.00103285,0.00625,0.0845781
80,0.50625,23.7867,0.00102769,0.00625,0.0847898
81,0.5125,23.7273,0.00102257,0.00625,0.085002
82,0.51875,23.6681,0.00101747,0.00625,0.0852148
83,0.525,23.609,0.0010124,0.00625,0.0854281
84,0.53125,23.55,0.00100735,0.00625,0.0856419
85,0.5375,23.4912,0.00100232,0.00625,0.0858563
86,0.54375,23.4326,0.000997323,0.00625,0.0860712
87,0.55,23.3741,0.000992349,0.00625,0.0862866
88,0.55625,23.3157,0.0009874,0.00625,0.0865026
89,0.5625,23.2575,0.000982476,0.00625,0.0867191
90,0.56875,23.1994,0.000977576,0.00625,0.0869362
91,0.575,23.1415,0.0009727,0.00625,0.0871538
92,0.58125,23.0837,0.000967849,0.00625,0.087372
93,0.5875,23.0261,0.000963022,0.00625,0.0875907
94,0.59375,22.9686,0.000958219,0.00625,0.0878099
95,0.6,22.9112,0.00095344,0.00625,0.0880297
96,0.60625,22.854,0.000948685,0.00625,0.0882501
97,0.6125,22.7969,0.000943954,0.00625,0.088471
98,0.61875,22.74,0.000939246,0.00625,0.0886924
99,0.625,22.6832,0.000934562,0.00625,0.0889144
100,0.63125,22.6266,0.000929901,0.00625,0.089137
101,0.6375,22.5701,0.000925263,0.00625,0.0893601
102,0.64375,22.5138,0.000920649,0.00625,0.0895838
103,0.65,22.4575,0.000916057,0.00625,0.089808
104,0.65625,22.4015,0.000911488,0.00625,0.0900328
105,0.6625,22.3455,0.000906942,0.00625,0.0902582
106,0.66875,22.2897,0.000902419,0.00625,0.0904841
107,0.675,22.2341,0.000897919,0.00625,0.0907106
108,0.68125,22.1786,0.00089344,0.00625,0.0909376
109,0.6875,22.1232,0.000888985,0.00625,0.0911653
110,0.69375,22.068,0.000884551,0.00625,0.0913935
111,0.7,22.0129,0.000880139,0.00625,0.0916222
112,0.70625,21.9579,0.00087575,0.00625,0.0918516
113,0.7125,21.9031,0.000871382,0.00625,0.0920815
114,0.71875,21.8484,0.000867036,0.00625,0.092312
115,0.725,21.7938,0.000862712,0.00625,0.092543
116,0.73125,21.7394,0.000858409,0.00625,0.0927747
117,0.7375,21.6851,0.000854128,0.00625,0.0930069
118,0.74375,21.631,0.000849868,0.00625,0.0932397
119,0.75,21.577,0.00084563,0.00625,0.0934731
120,0.75625,21.5231,0.000841412,0.00625,0.0937071
121,0.7625,21.4694,0.000837216,0.00625,0.0939416
122,0.76875,21.4158,0.00083304,0.00625,0.0941768
123,0.775,21.3623,0.000828886,0.00625,0.0944125
124,0.78125,21.309,0.000824752,0.00625,0.0946488
125,0.7875,21.2557,0.000820639,0.00625,0.0948858
126,0.79375,21.2027,0.000816546,0.00625,0.0951233
127,0.8,21.1497,0.000812473,0.00625,0.0953614
128,0.80625,21.0969,0.000808421,0.00625,0.0956001
129,0.8125,21.0442,0.000804389,0.00625,0.0958394
130,0.81875,20.9917,0.000800378,0.00625,0.0960793
131,0.825,20.9393,0.000796386,0.00625,0.0963198
132,0.83125,20.887,0.000792414,0.00625,0.0965609
133,0.8375,20.8349,0.000788462,0.00625,0.0968026
134,0.84375,20.7828,0.00078453,0.00625,0.0970449
135,0.85,20.7309,0.000780617,0.00625,0.0972878
136,0.85625,20.6792,0.000776724,0.00625,0.0975313
137,0.8625,20.6275,0.00077285,0.00625,0.0977754
138,0.86875,20.576,0.000768995,0.00625,0.0980202
139,0.875,20.5247,0.00076516,0.00625,0.0982655
140,0.88125,20.4734,0.000761344,0.00625,0.0985115
141,0.8875,20.4223,0.000757547,0.00625,0.0987581
142,0.89375,20.3713,0.000753769,0.00625,0.0990053
143,0.9,20.3204,0.000750009,0.00625,0.0992531
144,0.90625,20.2697,0.000746269,0.00625,0.0995015
145,0.9125,20.2191,0.000742547,0.00625,0.0997506
146,0.91875,20.1686,0.000738843,0.00625,0.1
147,0.925,20.1183,0.000735159,0.00625,0.100251
148,0.93125,20.068,0.000731492,0.00625,0.100502
149,0.9375,20.0179,0.000727844,0.00625,0.100753
150,0.94375,19.9679,0.000724214,0.00625,0.101005
151,0.95,19.9181,0.000720602,0.00625,0.101258
152,0.95625,19.8683,0.000717008,0.00625,0.101512
153,0.9625,19.8187,0.000713432,0.00625,0.101766
154,0.96875,19.7693,0.000709874,0.00625,0.10202
155,0.975,19.7199,0.000706333,0.00625,0.102276
156,0.98125,19.6707,0.000702811,0.00625,0.102532
157,0.9875,19.6215,0.000699305,0.00625,0.102788
158,0.99375,19.5725,0.000695818,0.00625,0.103046
159,1,19.5237,0.000692347,0.00625,0.103304

