Step,Time,Norm_diffusion,Norm_projection,dt,CFL
32,0.4125,0.526019,0.000710912,0.0125,0.0113722
33,0.425,0.52765,0.000715393,0.0125,0.0113264
34,0.4375,0.529442,0.000719862,0.0125,0.0112841
35,0.45,0.531389,0.000724374,0.0125,0.0112454
36,0.4625,0.533484,0.000729027,0.0125,0.0112101
37,0.475,0.535721,0.00073364,0.0125,0.0111784
38,0.4875,0.538092,0.000738385,0.0125,0.0111501
39,0.5,0.54059,0.000743131,0.0125,0.0111253
40,0.5125,0.543206,0.000747935,0.0125,0.011104
41,0.525,0.545932,0.000752793,0.0125,0.0110861
42,0.5375,0.54876,0.00075766,0.0125,0.0110717
43,0.55,0.551682,0.000762591,0.0125,0.0110608
44,0.5625,0.554688,0.000767526,0.0125,0.0110533
45,0.575,0.55777,0.000772502,0.0125,0.0110493
46,0.5875,0.560918,0.000777497,0.0125,0.0110486
47,0.6,0.564125,0.000782505,0.0125,0.0110489
48,0.6125,0.56738,0.00078754,0.0125,0.011049
49,0.625,0.570676,0.000792574,0.0125,0.0110491
50,0.6375,0.574002,0.000797627,0.0125,0.0110492
51,0.65,0.577351,0.000802681,0.0125,0.0110492
52,0.6625,0.580714,0.000807736,0.0125,0.0110492
53,0.675,0.584082,0.000812795,0.0125,0.0110492
54,0.6875,0.587446,0.000817844,0.0125,0.0110492
55,0.7,0.590799,0.000822892,0.0125,0.0110492
56,0.7125,0.594132,0.000827927,0.0125,0.0110492
57,0.725,0.597438,0.00083295,0.0125,0.0110492
58,0.7375,0.600708,0.000837958,0.0125,0.0110492
59,0.75,0.603935,0.000842946,0.0125,0.0110492
60,0.7625,0.607112,0.000847916,0.0125,0.0110492
61,0.775,0.610232,0.00085286,0.0125,0.0110493
62,0.7875,0.613287,0.00085778,0.0125,0.0110493
63,0.8,0.616272,0.00086267,0.0125,0.0110493
64,0.8125,0.61918,0.000867529,0.0125,0.0110493
65,0.825,0.622004,0.000872356,0.0125,0.0110493
66,0.8375,0.624739,0.000877146,0.0125,0.0110493
67,0.85,0.62738,0.000881898,0.0125,0.0110493
68,0.8625,0.62992,0.00088661,0.0125,0.0110494
69,0.875,0.632355,0.00089128,0.0125,0.0110494
70,0.8875,0.63468,0.000895905,0.0125,0.0110494
71,0.9,0.636891,0.000900483,0.0125,0.0110495
72,0.9125,0.638982,0.000905012,0.0125,0.0110495
73,0.925,0.640951,0.000909491,0.0125,0.0110495
74,0.9375,0.642793,0.000913917,0.0125,0.0110495
75,0.95,0.644505,0.000918289,0.0125,0.0110496
76,0.9625,0.646083,0.000922605,0.0125,0.0110496
77,0.975,0.647526,0.000926862,0.0125,0.0110496
78,0.9875,0.648829,0.00093106,0.0125,0.0110497
79,1,0.64999,0.000935196,0.0125,0.0110497
80,1.0125,0.651009,0.000939269,0.0125,0.0110497
81,1.025,0.651881,0.000943276,0.0125,0.0110497
82,1.0375,0.652607,0.000947218,0.0125,0.0110497
83,1.05,0.653185,0.000951092,0.0125,0.0110497
84,1.0625,0.653613,0.000954896,0.0125,0.0110497
85,1.075,0.653891,0.000958629,0.0125,0.0110497
86,1.0875,0.654018,0.00096229,0.0125,0.0110498
87,1.1,0.653995,0.000965878,0.0125,0.0110498
88,1.1125,0.653821,0.00096939,0.0125,0.0110498
89,1.125,0.653496,0.000972826,0.0125,0.0110497
90,1.1375,0.653021,0.000976185,0.0125,0.0110497
91,1.15,0.652397,0.000979465,0.0125,0.0110497
92,1.1625,0.651625,0.000982665,0.0125,0.0110497
93,1.175,0.650707,0.000985784,0.0125,0.0110497
94,1.1875,0.649644,0.000988821,0.0125,0.0110497
95,1.2,0.648438,0.000991774,0.0125,0.0110497
96,1.2125,0.647091,0.000994643,0.0125,0.0110497
97,1.225,0.645606,0.000997427,0.0125,0.0110497
98,1.2375,0.643986,0.00100012,0.0125,0.0110497
99,1.25,0.642233,0.00100274,0.0125,0.0110497
100,1.2625,0.64035,0.00100526,0.0125,0.0110496
101,1.275,0.638343,0.00100769,0.0125,0.0110496
102,1.2875,0.636213,0.00101003,0.0125,0.0110496
103,1.3,0.633966,0.00101229,0.0125,0.0110496
104,1.3125,0.631606,0.00101445,0.0125,0.0110496
105,1.325,0.629137,0.00101652,0.0125,0.0110496
106,1.3375,0.626564,0.00101849,0.0125,0.0110496
107,1.35,0.623893,0.00102038,0.0125,0.0110495
108,1.3625,0.621129,0.00102216,0.0125,0.0110495
109,1.375,0.618277,0.00102386,0.0125,0.0110495
110,1.3875,0.615344,0.00102546,0.0125,0.0110495
111,1.4,0.612336,0.00102696,0.0125,0.0110495
112,1.4125,0.609259,0.00102836,0.0125,0.0110495
113,1.425,0.60612,0.00102967,0.0125,0.0110494
114,1.4375,0.602926,0.00103088,0.0125,0.0110494
115,1.45,0.599684,0.00103199,0.0125,0.0110494
116,1.4625,0.596401,0.00103301,0.0125,0.0110494
117,1.475,0.593085,0.00103392,0.0125,0.0110494
118,1.4875,0.589745,0.00103474,0.0125,0.0110494
119,1.5,0.586387,0.00103545,0.0125,0.0110493
120,1.5125,0.583019,0.00103607,0.0125,0.0110493
121,1.525,0.579652,0.00103659,0.0125,0.0110493
122,1.5375,0.576292,0.001037,0.0125,0.0110493
123,1.55,0.572948,0.00103732,0.0125,0.0110493
124,1.5625,0.56963,0.00103753,0.0125,0.0110492
125,1.575,0.566346,0.00103764,0.0125,0.0110489
126,1.5875,0.563104,0.00103765,0.0125,0.0110487
127,1.6,0.559915,0.00103756,0.0125,0.0110516
128,1.6125,0.556786,0.00103737,0.0125,0.011058
129,1.625,0.553727,0.00103708,0.0125,0.0110678
130,1.6375,0.550746,0.00103669,0.0125,0.011081
131,1.65,0.547853,0.00103619,0.0125,0.0110977
132,1.6625,0.545056,0.00103559,0.0125,0.0111179
133,1.675,0.542363,0.00103489,0.0125,0.0111416
134,1.6875,0.539784,0.00103409,0.0125,0.0111687
135,1.7,0.537325,0.00103319,0.0125,0.0111993
136,1.7125,0.534996,0.00103219,0.0125,0.0112335
137,1.725,0.532803,0.00103109,0.0125,0.0112711
138,1.7375,0.530754,0.00102989,0.0125,0.0113122
139,1.75,0.528855,0.00102859,0.0125,0.0113568
140,1.7625,0.527114,0.00102719,0.0125,0.011405
141,1.775,0.525535,0.00102568,0.0125,0.0114566
142,1.7875,0.524125,0.00102409,0.0125,0.0115118
143,1.8,0.522889,0.00102239,0.0125,0.0115705
144,1.8125,0.52183,0.00102059,0.0125,0.0116327
145,1.825,0.520952,0.0010187,0.0125,0.0116984
146,1.8375,0.520259,0.00101671,0.0125,0.0117676
147,1.85,0.519753,0.00101462,0.0125,0.0118403
148,1.8625,0.519436,0.00101244,0.0125,0.0119165
149,1.875,0.519309,0.00101017,0.0125,0.0119158
150,1.8875,0.519372,0.0010078,0.0125,0.0118397
151,1.9,0.519626,0.00100533,0.0125,0.011767
152,1.9125,0.520068,0.00100278,0.0125,0.0116978
153,1.925,0.520699,0.00100013,0.0125,0.0116321
154,1.9375,0.521515,0.000997393,0.0125,0.01157
155,1.95,0.522513,0.000994566,0.0125,0.0115113
156,1.9625,0.523691,0.000991649,0.0125,0.0114561
157,1.975,0.525043,0.000988645,0.0125,0.0114045
158,1.9875,0.526566,0.000985554,0.0125,0.0113564
159,2,0.528253,0.000982378,0.0125,0.0113118
